Name,RO5_violations,Smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,NumRadicalElectrons,NumValenceElectrons,FP1,FP2,FP3,HeavyAtomMolWt,pIC50
CHEMBL1078696,0,Cc1ccc(N2CCCC2)c(C(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)c1,inactive,444.579,4.10822,3,5,0,172,1.121212121,1.909090909,2.636363636,412.323,4.920818754
CHEMBL67993,0,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccccc3)cc2)cn1,inactive,442.541,2.0366,4,7,0,164,1.032258065,1.774193548,2.451612903,416.333,5
CHEMBL595449,0,CN(C)Cc1nc(-c2ccc(C(C)(C)C)cc2)n(-c2cccc(O)c2)n1,inactive,350.466,3.999,1,5,0,136,1.038461538,1.730769231,2.307692308,324.258,5
CHEMBL288083,2,CCCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,intermediate,563.724,5.311,3,8,0,212,0.95,1.725,2.45,526.428,5.698970004
CHEMBL33438,1,CCC(=O)CCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,inactive,549.653,3.7098,3,9,0,204,1.051282051,1.820512821,2.512820513,518.405,4.602059991
CHEMBL64936,0,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(Cl)cc1,active,461.971,3.1078,3,6,0,164,1.064516129,1.806451613,2.483870968,437.779,6
CHEMBL1729,0,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,inactive,465.953,3.3581,2,6,0,174,1.28125,2.03125,2.71875,436.721,5
CHEMBL545363,0,CS(=O)(=O)Nc1ccc(OC[C@@H](O)CNCCOc2ccc(-n3ccnc3)cc2)cc1.Cl,intermediate,482.99,2.0739,3,8,0,174,1.0625,1.71875,2.34375,455.774,5.769551079
CHEMBL64935,1,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(Br)cc1,intermediate,506.422,3.2169,3,6,0,164,1.064516129,1.806451613,2.483870968,482.23,5.698970004
CHEMBL68021,0,CCc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3cccnc3)cc2)cc1,active,455.58,3.0168,3,6,0,170,1.03125,1.75,2.40625,426.348,6.229147988
CHEMBL67461,0,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3cnc4ccccc4c3)cc2)cn1,intermediate,493.589,2.5848,4,8,0,182,1,1.8,2.571428571,466.373,5.200659451
CHEMBL1944694,0,COc1ccccc1CCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,active,493.629,3.5018,5,7,0,184,0.971428571,1.714285714,2.514285714,462.381,6.499996932
CHEMBL1945032,2,Cc1cccc2c(CCNCc3ccc(CCNC[C@H](O)c4ccc(O)c5[nH]c(=O)sc45)cc3)c[nH]c12,active,516.667,4.28292,6,6,0,192,0.945945946,1.72972973,2.567567568,484.411,6.499996932
CHEMBL1945040,0,COc1ccccc1CNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,intermediate,479.602,3.4593,5,7,0,178,1,1.764705882,2.558823529,450.37,5.899998417
CHEMBL1945292,0,COCCNCc1cccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)c1,active,417.531,1.8969,5,7,0,156,1.172413793,2,2.827586207,390.315,6.799998135
CHEMBL1945296,2,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,active,546.52,5.1901,5,6,0,190,0.944444444,1.694444444,2.5,517.288,8.100015437
CHEMBL1256786,0,COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,active,344.411,2.2233,4,5,0,134,1.2,1.92,2.56,320.219,6.199998172
CHEMBL332132,2,N#CN/C(=N\c1ccc2c(c1)N(c1nc(-c3ccc(OC(F)(F)F)cc3)cs1)CC2)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1,active,684.748,6.83388,4,9,0,250,1.102040816,1.918367347,2.653061224,653.5,6.207608311
CHEMBL104222,0,CCCOC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)c3cccnc3)cc2)cc1,inactive,498.605,3.7066,4,7,0,186,1.057142857,1.771428571,2.428571429,468.365,4.22184875
